,resultId,number,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,round,date,time_hour,circuitRef,country,lat,status,driverRef,dob,nationality,constructorRef
0,1,22,1,1,1,10.0,58,1:34:50.616,5690616,39,2,1:27.452,218.300,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Disqualified,heidfeld,1977-05-10,German,bmw_sauber
1,2,3,5,2,2,8.0,58,+5.478,5696094,41,3,1:27.739,217.586,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Disqualified,rosberg,1985-06-27,German,williams
2,3,7,7,3,3,6.0,58,+8.163,5698779,41,5,1:28.090,216.719,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Disqualified,alonso,1981-07-29,Spanish,renault
3,4,5,11,4,4,5.0,58,+17.181,5707797,58,7,1:28.603,215.464,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Disqualified,kovalainen,1981-10-19,Finnish,toro_rosso
4,5,23,3,5,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Disqualified,nakajima,1985-01-11,Japanese,bmw_sauber
5,6,8,13,6,6,3.0,57,\N,\N,50,14,1:29.639,212.974,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,+2 Laps,bourdais,1979-02-28,French,renault
6,7,14,17,7,7,2.0,55,\N,\N,22,12,1:29.534,213.224,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Gearbox,raikkonen,1979-10-17,Finnish,ferrari
7,8,1,15,8,8,1.0,53,\N,\N,20,4,1:27.903,217.180,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Gearbox,kubica,1984-12-07,Polish,toyota
8,9,4,2,\N,9,0.0,47,\N,\N,15,9,1:28.753,215.100,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Engine,glock,1982-03-18,German,williams
9,10,12,18,\N,10,0.0,43,\N,\N,23,13,1:29.558,213.166,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Collision,sato,1977-01-28,Japanese,super_aguri
10,11,18,19,\N,11,0.0,32,\N,\N,24,15,1:30.892,210.038,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Clutch,piquet_jr,1985-07-25,Brazilian,red_bull
11,12,6,20,\N,12,0.0,30,\N,\N,20,16,1:31.384,208.907,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Hydraulics,massa,1981-04-25,Brazilian,toro_rosso
12,13,2,4,\N,13,0.0,29,\N,\N,23,6,1:28.175,216.510,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Gearbox,coulthard,1971-03-27,British,toyota
13,14,9,8,\N,14,0.0,25,\N,\N,21,11,1:29.502,213.300,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Engine,trulli,1974-07-13,Italian,force_india
14,15,11,6,\N,15,0.0,19,\N,\N,18,10,1:29.310,213.758,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,+1 Lap,sutil,1983-01-11,German,super_aguri
15,16,20,22,\N,16,0.0,8,\N,\N,8,17,1:32.021,207.461,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Electrical,webber,1976-08-27,Australian,honda
16,17,10,14,\N,17,0.0,0,\N,\N,\N,\N,\N,\N,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Engine,button,1980-01-19,British,force_india
17,18,16,12,\N,18,0.0,0,\N,\N,\N,\N,\N,\N,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Engine,davidson,1979-04-18,British,spyker
18,19,19,21,\N,19,0.0,0,\N,\N,\N,\N,\N,\N,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Engine,vettel,1987-07-03,German,red_bull
19,20,15,9,\N,20,0.0,0,\N,\N,\N,\N,\N,\N,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Engine,fisichella,1973-01-14,Italian,ferrari
20,21,21,16,\N,21,0.0,0,\N,\N,\N,\N,\N,\N,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Engine,barrichello,1972-05-23,Brazilian,honda
21,22,17,10,\N,22,0.0,58,\N,\N,44,8,1:28.736,215.141,2,23/03/08,7:00:00,bahrain,Bahrain,26.0325,Accident,ralf_schumacher,1975-06-30,German,spyker
22,23,1,2,1,1,10.0,56,1:31:18.555,5478555,37,2,1:35.405,209.158,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,kubica,1984-12-07,Polish,toyota
23,24,4,4,2,2,8.0,56,+19.570,5498125,39,6,1:35.921,208.033,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,glock,1982-03-18,German,williams
24,25,23,8,3,3,6.0,56,+38.450,5517005,19,7,1:35.922,208.031,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,nakajima,1985-01-11,Japanese,bmw_sauber
25,26,11,3,4,4,5.0,56,+45.832,5524387,53,8,1:36.068,207.715,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,sutil,1983-01-11,German,super_aguri
26,27,22,9,5,5,4.0,56,+46.548,5525103,53,3,1:35.462,209.033,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,heidfeld,1977-05-10,German,bmw_sauber
27,28,3,5,6,6,3.0,56,+49.833,5528388,55,1,1:35.366,209.244,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,rosberg,1985-06-27,German,williams
28,29,10,6,7,7,2.0,56,+1:08.130,5546685,53,12,1:36.696,206.366,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,button,1980-01-19,British,force_india
29,30,5,7,8,8,1.0,56,+1:10.041,5548596,40,10,1:36.288,207.240,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,kovalainen,1981-10-19,Finnish,toro_rosso
30,31,9,12,9,9,0.0,56,+1:16.220,5554775,55,9,1:36.206,207.417,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,trulli,1974-07-13,Italian,force_india
31,32,16,11,10,10,0.0,56,+1:26.214,5564769,56,4,1:35.715,208.481,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,davidson,1979-04-18,British,spyker
32,33,6,13,11,11,0.0,56,+1:32.202,5570757,52,15,1:36.956,205.812,3,06/04/08,11:30:00,catalunya,Spain,41.57,Disqualified,massa,1981-04-25,Brazilian,toro_rosso
33,34,21,17,12,12,0.0,55,\N,\N,52,16,1:36.962,205.800,3,06/04/08,11:30:00,catalunya,Spain,41.57,+2 Laps,barrichello,1972-05-23,Brazilian,honda
34,35,17,14,13,13,0.0,55,\N,\N,55,11,1:36.693,206.372,3,06/04/08,11:30:00,catalunya,Spain,41.57,+2 Laps,ralf_schumacher,1975-06-30,German,spyker
35,36,7,16,14,14,0.0,55,\N,\N,55,13,1:36.782,206.182,3,06/04/08,11:30:00,catalunya,Spain,41.57,+2 Laps,alonso,1981-07-29,Spanish,renault
